Species,Group
Asclerocheilus ashworthi ,3
Asclerocheilus intermedius ,3
Asclerocheilus minutus ,3
Asclerocheilus sp. ,3
Ascobulla fragilis ,1
Ascorhynchus arenicola ,2
Ascorhynchus arenicolum ,2
Ascorhynchus simile ,2
Ascorhynchus sp. ,2
Asellus aquaticus ,0
Asellus sp. ,0
Aspidelectra melolontha ,2
Aspidosiphon albus ,2
Aspidosiphon kovalevskii ,1
Aspidosiphon muelleri ,1
Aspidosiphon muelleri muelleri ,1
Aspidosiphon sp. ,1
Assiminea brevicula ,2
Assiminea californica ,2
Assiminea succinea ,2
Astacilla danmoniensis ,2
Astacilla dilatata ,2
Astacilla gorgonophila ,1
Astacilla intermedia ,1
Astacilla longicornis ,1
Astacilla mediterranea ,1
Astacilla sp. ,0
Astarte acuticostata ,1
Astarte arctica ,1
Astarte borealis ,1
Astarte crenata ,1
Astarte elliptica ,1
Astarte fusca ,1
Astarte montagui ,1
Astarte nana ,1
Astarte sp. ,1
Astarte sulcata ,1
Astarte triangularis ,2
Astarte undata ,1
ASTARTIDAE ,1
Asterias militaris ,2
Asterias panopla ,3
Asterias rubens ,3
Asterias sp. ,3
Asterina borealis ,1
Asterina gibbosa ,1
ASTEROIDEA ,1
Asterope norvegica ,0
Asteropella slatteryi ,1
Asthenognathus atlanticus ,2
Asthenognathus inaequipes ,2
Asthenothaerus diegensis ,2
Asthenothaerus hemphilli ,2
Asthenothaerus sp. ,2
Astraea rugosa ,1
Astropecten aranciacus ,1
Astropecten filiformis ,1
Astropecten irregularis ,1
Astropecten irregularis pentacanthus ,1
Astropecten irregularis typicus ,1
Astropecten jonstoni ,1
Astropecten pentacanthus ,1
Astropecten sp. ,1
Astropecten spinulosus ,1
Astropecten tenuispinus ,1
Astropecten verrilli ,2
ASTROPECTINIDAE ,1
Astyris aurantiaca ,2
Astyris gausapata ,2
Astyris lunata ,2
Asychis amphiglypta ,1
Asychis biceps ,2
Asychis elongata ,1
Asychis gotoi ,2
Asychis sp. ,2
Atelecyclus rotundatus ,1
Atelecyclus sp. ,1
Atelecyclus undecimdentatus ,1
Athanas amazone ,1
Athanas japonicus ,1
Athanas nitescens ,1
Athanas sp. ,1
ATHECATA ,1
Atherospio disticha ,0
Atherospio guillei ,4
Atrina fragilis ,0
Atylus falcatus ,1
Atylus guttatus ,1
Atylus massiliensis ,1
Atylus smittii ,1
Atylus sp. ,1
Atylus swammerdami ,1
Atylus tridens ,1
Atylus vedlomensis ,1
Atys caribaeus ,2
Atys macandrewi ,2
Auchenoplax crinita ,0
Audouinia sp. ,4
Audouinia tentaculata ,4
Augeneria algida ,1
Augeneria bidens ,1
Augeneria sp. ,1
Aulacomia atra ,3
Aulodrilus limnobius ,4
Aulodrilus paucichaeta ,4
Aulodrilus pigueti ,4
Aulodrilus pluriseta ,4
Aulodrilus sp. ,4
Austrolaenilla antarctica ,2
Austromegabalanus psittacus ,2
Austrosyrrhoe fimbriatus ,0
AUTOLYTINAE ,2
Autolytus alexandri ,2
Autolytus aurantiacus ,2
Autolytus brachycephalus ,2
Autolytus dentalius ,2
Autolytus edwarsi ,2
Autolytus inermis ,2
Autolytus langheransi ,2
Autolytus longeferiens ,2
Autolytus longoprimicirratus ,2
Autolytus prolifera ,2
Autolytus rubropunctatus ,2
Autolytus setoensis ,2
Autolytus sp. ,2
Automate evermanni ,3
Automate rectifrons ,3
Autonoe angularis ,1
Autonoe denticarpus ,1
Autonoe longipes ,1
Autonoe megacheir ,1
Autonoe rubromaculatus ,1
Autonoe spiniventris ,1
Axarus sp. ,1
Axelsonia littoralis ,0
Axinopsida orbiculata ,3
Axinopsida serricata ,3
Axinulus croulinensis ,1
Axinulus eumyarius ,2
Axinus ferrugineus ,2
Axinus incrassatus ,2
Axinus pusillus ,1
Axiokebuita sp. ,0
Axionice cristata ,1
Axionice maculata ,1
Axiothella constricta ,1
Axiothella mucosa ,1
Axiothella rubrocincta ,1
Axiothella sp. ,1
Azorinus chamasolen ,1
Bagatus minutus ,0
Balanoglossus gigas ,1
Balanoglossus sp. ,1
Balanophyllia sp. ,0
Balanus trigonus ,2
Balcis alba ,1
Balcis devians ,1
Balcis macrophthalmica ,1
Balcis philippi ,1
Barantolla americana ,2
Barantolla sp. ,2
Barbatia bistrigata ,1
Barbatia obliquata ,1
Barentsia sp. ,0
Barleeia rubra ,2
Barleeia sp. ,2
Barleeia unifasciata ,2
Barnea candida ,1
Barnea davidi ,1
Baseodiscus sp. ,3
Batea catharinensis ,1
Batea cuspidata ,1
Bathyarca glacialis ,1
Bathyarca grenophia ,1
Bathyarca pectunculoides ,1
Bathyarca philippiana ,1
Bathyarca sp. ,1
Bathycopea daltonae ,1
Bathycuma brevicornis ,0
Bathycuma brevirostre ,0
Bathyleberis sp. ,2
Bathymedon longimanus ,2
Bathymedon obtusifrons ,2
Bathymedon saussurei ,2
Bathyporeia elegans ,1
Bathyporeia gracilis ,1
Bathyporeia guilliamsoniana ,1
Bathyporeia megalops ,1
Bathyporeia nana ,1
Bathyporeia pelagica ,1
Bathyporeia phaiophthalma ,1
Bathyporeia pilosa ,1
Bathyporeia pseudopelagica ,1
Bathyporeia sarsi ,1
Bathyporeia sp. ,1
Bathyporeia tenuipes ,1
Bathyvermilia langerhansi ,2
Batillaria cumingii ,2
Batillaria zonalis  ,2
Beania magellanica ,0
Beania mirabilis ,0
Bela brachystoma ,1
Bela costulata ,1
Bela fuscata ,1
Bela laevigata ,1
Bela nebula ,1
Bela ornata ,1
Bela powisiana ,1
Bela sp. ,1
Bela zonata ,1
Bemlos dentischium ,2
Bemlos kunkelae ,1
Bemlos macromanus ,2
Bemlos sp. ,2
Bemlos spinicarpus ,1
Benedipora delicatula ,0
Beringius ossianius ,1
Berthella plumula ,1
Berthella sp. ,1
Berthellina sp. ,0
Betaeus ensenadensis ,1
Betaeus harrimani ,1
Betaeus longidactylus ,1
Betaeus sp. ,1
Betaeus truncatus ,2
Bezzia sp. ,1
Bhawania brevis ,1
Bhawania goodei ,1
Bhawania heteroseta ,1
Bhawania reyssi ,1
Bicellariella ciliata ,0
Biffarius biformis ,1
Bipalponephtys cornuta ,2
Bipalponephtys neotena ,2
Bispira brunnea ,1
Bispira melanostigma ,1
Bispira viola ,1
Bispira volutacornis ,1
Bispiramagalhaensis sp. ,1
Bithynia fuchsiana  ,1
Bithynia sp. ,1
Bittiolum sp. ,1
Bittiolum varium ,1
Bittium latreillii ,1
Bittium reticulatum ,1
Bittium scabrum ,1
Bittium sp. ,1
Boccardia acus ,4
Boccardia basilaria ,3
Boccardia chilensis ,1
Boccardia polybranchia ,4
Boccardia proboscidea ,4
Boccardia pugettensis ,2
Boccardia redeki ,3
Boccardia semibranchiata ,1
Boccardiella hamata ,3
Boccardiella ligerica ,3
Boccardiella sp. ,3
Bodotria arenosa ,2
Bodotria armoricana ,2
Bodotria gibba ,2
